model,ticker,step,lookback,units,window,seed,rmse_train,mae_train,mape_train,rmse_test,mae_test,mape_test,train_time_s,infer_time_train_s,infer_time_test_s,ts
FuzzyMomentum,GBPUSD=X,1d,1,16,10,42,0.0093675947993608,0.0068260109983384,0.4351766705513,0.0066576251974984,0.0049843261949718,0.3893615305423736,71.06938338279724,0.7948081493377686,0.1827890872955322,1777050954.6001973
FuzzyTrend,GBPUSD=X,1d,1,16,10,42,0.0094647893640616,0.0068847457878291,0.4372413754463196,0.006630190766788,0.0049769454635679,0.3888237178325653,67.92068529129028,0.8229484558105469,0.1719837188720703,1777051031.263854
FuzzyVolatility,GBPUSD=X,1d,1,16,10,42,0.0094946186516094,0.0069234650582075,0.4393233060836792,0.0066378911260143,0.0049823378212749,0.3891717791557312,73.31571698188782,0.7729213237762451,0.1581358909606933,1777051121.961615
FuzzyAll,GBPUSD=X,1d,1,16,10,42,0.0093813380222631,0.0068422281183302,0.4360314607620239,0.0066525249782188,0.0049776309169828,0.3888939917087555,68.4604709148407,1.3263301849365234,0.1646161079406738,1777051199.7502308
FuzzyBasic,AUDUSD=X,1d,1,16,10,42,0.0065871388923317,0.0046394052915275,0.5617326498031616,0.0044300747561443,0.0033514744136482,0.4946872591972351,70.75337076187134,0.7858238220214844,0.1765546798706054,1777051332.0936763
FuzzyMomentum,AUDUSD=X,1d,1,16,10,42,0.0066214304874601,0.0046691573224961,0.5644803047180176,0.0044143063359328,0.0033342815004289,0.492938369512558,76.34523963928223,1.2161962985992432,0.2777144908905029,1777051424.6115851
FuzzyTrend,AUDUSD=X,1d,1,16,10,42,0.0065777967160241,0.0046559758484363,0.5630910992622375,0.004410031338462,0.003331997198984,0.4920468628406524,66.89252018928528,1.223663568496704,0.3982322216033935,1777051508.7947917
FuzzyVolatility,AUDUSD=X,1d,1,16,10,42,0.0066023712533066,0.0046592350117862,0.5634883642196655,0.0044249197513565,0.0033441942650824,0.4938487410545349,68.02716445922852,0.8057916164398193,0.1487762928009033,1777051596.3674116
FuzzyAll,AUDUSD=X,1d,1,16,10,42,0.0066038769945123,0.004691710229963,0.5670334696769714,0.0044562232336816,0.0033764727413654,0.4993922114372253,68.14823627471924,0.7643635272979736,0.1528182029724121,1777051695.7467773
FuzzyBasic,BTC-USD,1d,1,16,10,42,803.8560583213888,448.33636474609375,21.27094841003418,1946.8592655864984,1362.0997314453125,1.8419077396392824,58.10116863250733,0.7528078556060791,0.1423292160034179,1777051804.7542348
FuzzyMomentum,BTC-USD,1d,1,16,10,42,806.5390567108328,434.8199462890625,15.168971061706545,2002.3042975531969,1410.66064453125,1.8764671087265008,56.68282842636109,0.7042083740234375,0.1528534889221191,1777051872.1243358
FuzzyTrend,BTC-USD,1d,1,16,10,42,795.7106886299819,407.95220947265625,12.218027114868164,1844.676123334392,1261.7821044921875,1.730968952178955,56.70707941055298,1.3560991287231443,0.1487007141113281,1777051937.670821
FuzzyVolatility,BTC-USD,1d,1,16,10,42,806.4645450979231,459.6100463867188,22.168472290039062,1849.9745268516533,1271.154296875,1.755831956863403,55.88253211975098,0.7629706859588623,0.2075951099395752,1777052005.2713592
FuzzyAll,BTC-USD,1d,1,16,10,42,801.6042508619823,424.2591552734375,13.840076446533203,1987.3578565522616,1407.3138427734375,1.8822124004364007,52.06176519393921,1.0175573825836182,0.2014775276184082,1777052063.192446
FuzzyBasic,ETH-USD,1d,1,16,10,42,74.66428771089295,40.05876922607422,3.278197765350342,111.74851439169112,77.98004150390625,2.646030902862549,57.18149566650391,0.7283401489257812,0.1512248516082763,1777052181.4180653
FuzzyMomentum,ETH-USD,1d,1,16,10,42,76.79196480996563,43.95805358886719,4.889111518859863,110.35333433312064,77.97489166259766,2.666154146194458,47.25379967689514,1.0577178001403809,0.2431540489196777,1777052255.1772687
FuzzyTrend,ETH-USD,1d,1,16,10,42,76.22457311704015,41.94546127319336,3.8947110176086426,110.57073174556638,77.80233764648438,2.641631841659546,48.11626863479614,1.0243384838104248,0.1934652328491211,1777052341.978522
FuzzyVolatility,ETH-USD,1d,1,16,10,42,75.56732692399208,41.79817962646485,3.515122413635254,112.89108239526716,80.28295135498047,2.717916250228882,44.2978401184082,0.6965601444244385,0.1209025382995605,1777052403.586715
FuzzyAll,ETH-USD,1d,1,16,10,42,75.93964760337646,41.16900253295898,3.367069721221924,110.0864583875442,77.68721771240234,2.644749879837036,44.21931481361389,0.6719708442687988,0.1203734874725341,1777052483.844099
FuzzyBasic,SOL-USD,1d,1,16,10,42,4.725005796721601,3.0375285148620605,28.313278198242188,7.290272112504803,5.190281391143799,3.2354283332824707,35.773388385772705,0.6032958030700684,0.119192361831665,1777052553.3012133
FuzzyMomentum,SOL-USD,1d,1,16,10,42,4.751572198177377,2.7704246044158936,5.675100803375244,7.233748274941879,5.07503604888916,3.1730611324310303,38.231130838394165,0.6778116226196289,0.1153054237365722,1777052619.88047
FuzzyTrend,SOL-USD,1d,1,16,10,42,4.767243057472375,3.02983832359314,19.68253517150879,7.306890439043382,5.197511672973633,3.223530530929565,36.243109703063965,0.6618587970733643,0.1250214576721191,1777052680.9920137
FuzzyVolatility,SOL-USD,1d,1,16,10,42,4.719921042541618,2.956770658493042,18.466455459594727,7.291455627293835,5.21376895904541,3.295558214187622,36.158002614974976,0.9484093189239502,0.1620464324951172,1777052727.849292
FuzzyAll,SOL-USD,1d,1,16,10,42,4.8832476368611655,3.296300411224365,15.88889503479004,7.333295157362087,5.245883941650391,3.3278379440307617,35.64751696586609,0.972426176071167,0.1570355892181396,1777052809.861821
FuzzyBasic,BNB-USD,1d,1,16,10,42,11.700665081716176,5.4268670082092285,5.546591281890869,23.554302702080783,16.243858337402344,2.250279188156128,47.03857803344727,0.9898805618286132,0.1783182621002197,1777052936.8322098
FuzzyMomentum,BNB-USD,1d,1,16,10,42,12.378859409425422,6.443699836730957,9.023353576660156,24.142436471274628,16.647991180419922,2.288982391357422,51.56248235702515,0.7616841793060303,0.1483373641967773,1777053077.32948
FuzzyTrend,BNB-USD,1d,1,16,10,42,12.13552179686669,5.533735275268555,3.9317235946655273,23.377434751623333,16.53550148010254,2.3095719814300537,52.24580121040344,0.7208728790283203,0.1289966106414795,1777053133.745366
FuzzyVolatility,BNB-USD,1d,1,16,10,42,11.96043549424159,5.482156276702881,4.056904315948486,23.013470229665906,16.21442985534668,2.2762651443481445,47.27865529060364,0.7416102886199951,0.1357896327972412,1777053345.384439
FuzzyAll,BNB-USD,1d,1,16,10,42,12.245306867661714,6.054910659790039,6.9177021980285645,28.82003612804597,21.26014709472656,2.897612333297729,45.950713872909546,0.7717835903167725,0.1422610282897949,1777053424.697039
FuzzyBasic,XRP-USD,1d,1,16,10,42,0.0516103091179934,0.0219062212854623,3.584873676300049,0.1002420268181984,0.0605028681457042,3.172567129135132,52.27819275856018,0.6726596355438232,0.1360957622528076,1777053526.3240004
FuzzyMomentum,XRP-USD,1d,1,16,10,42,0.036851313469967,0.0186345409601926,3.351560115814209,0.090229357542768,0.052785363048315,2.853586912155152,44.7732412815094,1.036104679107666,0.2518227100372314,1777053577.9342887
FuzzyTrend,XRP-USD,1d,1,16,10,42,0.0514453416677984,0.0222346764057874,3.5956218242645264,0.1349716615625599,0.0911387652158737,4.387874603271484,46.41467261314392,0.7132463455200195,0.1474425792694091,1777053638.892075
FuzzyVolatility,XRP-USD,1d,1,16,10,42,0.0509263565118474,0.0222712252289056,3.732420444488525,0.1117945445648886,0.0724044516682624,3.66905665397644,45.023168087005615,0.6799137592315674,0.1313905715942382,1777053721.7163966
